key_press_count,key_hold_time,typing_speed,error_rate,backspace_count,idle_time,mouse_click_count,left_click,right_click,double_click,scroll_count,cursor_speed,cursor_distance,drag_count,movement_speed,idle_mouse_time,fatigue_level
38,0.44386344065386735,31.992017616244848,0.19236152489715505,34,36.12350105046937,11,2,1,1,4,139.91904016344927,685.2789634493814,1,93.88821343823342,15.03816530734843,2
73,0.3366501485391501,30.859446591410194,0.2930641426291818,52,38.63415931573468,14,2,0,1,5,41.21908339007877,200.2152954443054,1,29.95387015257706,15.453359805362881,2
244,0.13742987906398876,88.56256328894457,0.03224726940159028,8,1.973911873619469,56,46,9,2,34,346.67143106079067,2594.2865501608685,1,333.1952172401989,0.550058074330469,0
143,0.19356720661222904,58.12661391117638,0.09704138335263746,10,10.407656313005429,18,14,3,3,8,216.01811564774044,1276.673035479479,0,217.35937129666888,4.624937389601094,1
329,0.14542297981377966,97.05797694358844,0.011416894736741803,4,2.0615496367527784,35,50,12,9,12,510.7920617574687,2949.7602797259533,6,276.16899263388336,1.1005485830209638,0
71,0.31223339295428715,27.633908408885514,0.23269071565970922,26,34.38245045993757,10,9,1,1,0,121.72801336671672,792.4445680586651,1,93.028695197151,26.859448040971262,2
341,0.11220834112885003,78.38726051044524,0.025866391053742478,2,4.637560768033585,30,27,5,9,12,389.65714057770924,2968.179718179915,1,254.56876743087656,0.5219430298698237,0
79,0.41007213073131926,18.691641768971664,0.21929794478228215,33,26.697890798638603,5,2,3,0,7,76.1290717098222,218.62669622190765,0,82.06891509269215,14.758483244899669,2
194,0.18041238494680362,38.13075064071867,0.07215182035734204,13,11.980705464034017,27,17,2,2,14,152.2497750565705,846.6484364200271,0,208.34667524855615,3.705650379973597,1
60,0.3124238930678409,14.9860084253305,0.21029336560615694,35,17.285359419242276,7,6,1,1,7,38.42359336892564,179.88033003074497,0,64.90204118849698,21.72535686386536,2
57,0.25369144510798886,13.683819150418465,0.23030410298450354,51,25.773014108774944,11,6,3,1,4,44.72880656095445,103.13718532787018,1,32.81025921477122,14.370969230411259,2
330,0.10791746310113562,65.55299093768082,0.049853431032268976,8,3.41021265537146,70,57,4,5,31,436.0736999768502,4721.746833069217,4,378.29377057050897,1.005373498063177,0
366,0.08566110766320384,91.7715779986585,0.011394606409352998,2,1.8470214026619134,38,21,6,4,17,586.0605293554527,2287.1871642331917,4,265.23218043018,2.622309673690182,0
75,0.3040004089561161,24.827819458118185,0.28277991255585716,48,29.45769073676451,13,7,1,0,3,34.67204487472454,387.5902242366368,0,94.86398652234331,22.885763130555574,2
297,0.09896703497605909,88.15784540554037,0.04740807261197839,9,1.0441264570498632,38,49,13,9,30,364.65022766026533,2405.2404386772823,5,313.9097734488404,1.5057676034559297,0
227,0.10982640325328588,66.62053269711895,0.038596961608089904,8,3.465998907580334,38,40,12,6,38,383.8247652528216,2648.7515845595867,2,446.27091430993926,2.3468587740398257,0
139,0.21057537305209345,36.9769005244162,0.10110911314434974,14,12.839718505055895,19,16,4,2,10,176.41339319157808,1093.5395288627192,0,120.75678438128776,9.954510922769957,1
154,0.24822560609366148,43.523695041065245,0.07761857904969612,23,6.4049900979551735,27,12,3,3,19,191.24687879604602,860.0774325119532,0,243.54876533056623,6.522598417702824,1
43,0.30044001012338256,22.462861524726428,0.12836928714443477,26,15.309708047593896,9,7,0,1,5,119.58800085640715,603.4879541640304,0,29.465925840251053,26.76351841371477,2
120,0.23237463879508005,46.99062741861145,0.0968069619428525,16,13.119677423908017,31,23,7,2,9,251.13294486710953,1217.8767676488424,1,123.7361112722894,3.0373739937878197,1
