key_press_count,key_hold_time,typing_speed,error_rate,backspace_count,idle_time,inter_key_delay,flight_time,typing_burst_duration,correction_delay,pause_duration,keystrokes_per_minute,mouse_velocity,mouse_acceleration,mouse_jerk,movement_smoothness,idle_mouse_time,mouse_click_rate,double_click_speed,drag_distance,drag_speed,scroll_speed,scroll_frequency,mouse_path_curvature,mouse_entropy,mouse_precision,direction_changes,click_accuracy,cursor_distance,straight_line_ratio,avg_turning_angle,abs_turning_angle,reaction_time,app_switch_frequency,typing_session_length,mouse_session_length,break_duration,left_click,right_click,double_click,scroll_count,cursor_speed,drag_count,movement_speed,fatigue_level
61,0.18408333417179337,41.866373035997455,0.10993193815205446,39,14.787005617163608,0.31532515694255236,0.09988975666766967,8.883484672816465,0.751866829121368,2.259144424853913,119.32622076265625,284.4096997841876,33.84328715773286,69.30568498362624,0.6234576577061243,9.53695771531129,0.8767007552408159,0.47624677771005386,196.3330977764646,241.28262545784503,76.84316045571404,17.45018996447428,0.5327399051562723,3.455535604251269,0.770303593787426,63,0.707174213311033,688.3104883226265,0.5570370142898342,83.9977703425461,50.25670852922879,0.7171604082530442,11,12.780114182208496,2.5,7.188016577377156,24,8,3,2,108.62483439572327,1,272.823056394186,2
176,0.1939548616457649,45.4847707530138,0.059986597591015677,31,24.686371465718288,0.41478524295619046,0.2102898381511443,10.015352969500597,0.8186485157259153,3.6642833940288,125.89660031175634,102.13832896049162,75.6650462669266,151.14800218741803,0.5666498361214265,2.755419327867337,0.1389389346937726,0.4909077804434127,197.6661169904742,51.38412730700291,58.795731895402355,1.5,0.37775546182368047,2.071682064527911,0.7090917343292701,34,0.6612226837465192,1008.8280254528448,0.5283037830083446,42.82413854235068,57.846304955975825,0.6910483896598871,12,22.191289822956513,2.5,2.911175914989616,12,9,2,11,147.54249017012296,0,244.90575920933884,2
176,0.22003523216153792,36.75594083313063,0.08602912332974359,20,9.844618347293647,0.19659138033856202,0.1809259098395566,1.5,0.6257438716772493,16.360650317076747,53.6649726487245,286.7315237749525,31.811177164789967,115.25791844812132,0.5072454166658973,7.698750246438438,0.7583552630522753,0.3569599356061357,218.85624556408476,38.40269699052061,51.985571610688076,14.024981644247521,0.6653435329120438,2.422768187120292,0.5590700761895002,32,0.46846594256476476,496.7218335321911,0.41119014853805985,41.034657044894075,75.1133749331269,0.8795421353530638,11,9.573530359371857,28.142151124337033,4.312114549617766,35,4,1,9,180.8720310012782,0,308.35742558640123,2
39,0.4875643908138373,16.574930165801582,0.30536482090482525,85,39.76045872984575,0.602869939970456,0.3268586080427633,2.6050133374037197,0.9500365557318612,39.96656518851555,2.5,56.48220983159072,12.246313523260637,494.23596948412415,0.07631770877777234,69.4017732679738,0.08467984787746885,0.7397301853023999,1.0,11.385810483830326,9.594915211688013,4.5,0.8667162161033105,0.05,0.4400707159928279,178,0.42431620466242553,281.6985310777422,0.47378709616936465,96.78090258444105,135.2065494561964,1.1417481148041153,29,1.4535096447771156,3.0577005060513662,28.589783915843196,3,1,0,0,13.42716563720601,0,24.942386838304703,4
73,0.42566608273628626,30.609084141424713,0.13466014039738036,36,17.71198929331568,0.3767285901880315,0.32388681851593293,1.0142063091182756,1.6669234052137945,14.856933818149281,17.659105817868273,99.73437901654943,40.99976252227353,163.57126474581153,0.2879493315707485,19.608654790074585,0.22612069414322356,0.3259652475019352,10.0,57.107688376877334,4.0,1.6629529766382203,0.745393504136405,2.136828792712425,0.40325556648097916,103,0.5772855282559276,515.3898766227026,0.295637914178206,96.13946465850731,85.91364448419634,1.2316016774788707,15,4.004919748371774,6.910032754016919,16.22601216534385,14,4,2,3,169.68530031656135,0,84.36091311160791,3
215,0.1556409780629895,52.760796803891125,0.05720056740078018,10,5.445599862671751,0.15593353042746738,0.12883564004625125,6.88293993513465,0.5060520185669637,1.9380426014285104,216.37354533457417,353.79341058263674,53.87482048948347,44.23914680051661,0.9451867763875094,0.7774105358841645,0.6171962708583494,0.3220065926213167,476.6091696378391,297.5949458513901,97.96887176614108,10.951096876609915,0.18247137670588984,2.469193574628773,0.7825153835778348,6,0.7063661320811447,3314.7014819295464,0.6421519988918998,27.27861230945228,12.5,0.30247678499769637,6,35.96970677674365,28.882427936369368,0.5,35,10,4,28,372.2387722992034,1,359.53059249666734,1
55,0.3124681439886211,33.07254491581061,0.26274093813573635,54,11.105686503402158,0.3962507896889535,0.40872618686180034,5.033995215863125,1.1636651458838168,8.397237464411072,51.70238311315792,99.07304744695458,22.218929855362678,252.21753197782155,0.31036939792912194,33.861232055516126,0.09669960067623999,0.6476390029559762,85.80200372244315,85.92990182564202,14.182384063819129,3.753982296166181,0.5603577275948858,2.042197442476413,0.6824702928471756,49,0.5609951264856705,443.06352370072614,0.36776832494436495,86.8362774014999,168.1359411262689,0.947385221453573,14,7.364679506973603,1.197302252409601,14.43030908253309,6,2,2,9,128.30680454859777,0,32.000188866150914,3
8,0.4100954218201792,15.424625947205145,0.24930572879592,40,32.82783426434207,0.8950865205712469,0.5900310881265765,3.6011418304725655,1.624755166405529,57.78771766793658,2.5,45.57355030333797,2.487831255843216,416.8050944787225,0.2591681208996598,28.574870750164145,0.03783631096497823,0.7734688571370708,7.153212118799412,23.05619940164498,10.334973200737794,2.1652756219080684,0.7335606736813829,1.014649602148575,0.4318235216036747,150,0.24507470855999863,44.746000983306175,0.286900632525409,132.13511046667026,172.79146378078255,2.3376195938708855,27,1.986600659311791,3.1960050536849245,14.553902550715787,0,0,1,0,24.75110911622197,0,68.75509843763538,4
322,0.12692400957117728,107.77400833978496,0.02806424135250012,8,2.4746213292357364,0.11918961522982915,0.06702233501216506,8.393900660111143,0.16183257563391312,0.9088732319914461,333.80393486842735,480.04124448538715,113.79676884349394,11.144173858219673,0.993319817489625,0.991143342063828,2.105763543858013,0.08815902380557247,700.3948995498208,344.4316736165478,231.16532237277482,41.8562051247321,0.07606203092427227,3.9359860803731066,0.8685291877617887,24,0.9137967003399304,4582.736320288836,0.7376870883469494,25.869854759924046,30.14699535699832,0.1810260663406788,2,56.103894228753866,39.07608394951605,0.0,27,8,4,31,673.0110942793275,3,609.9435632178503,0
41,0.6321513314219741,12.04897138923095,0.28995434536763637,40,45.051785883777534,0.819668429546295,0.4440274222428501,0.5270046295567801,2.002608333437824,25.7491279116147,30.372722771351434,32.804517079128566,2.11186951666128,272.7733944971286,0.18740271672939474,22.196039765090006,0.037825619058582505,0.7565632830904275,45.0,23.103873032391768,9.636423827029772,0.21636725550108366,0.5388672801708154,0.3842085338900915,0.6247101163086011,190,0.3663686110385017,5.0,0.05,111.78161952572165,178.82060476312296,1.8491486822088228,16,7.210239320347218,2.449719511118413,29.4573179939195,4,1,0,2,67.45683112467019,1,16.16438348737298,4
